Final particle positions and velocities
Particle 0: 17237.88306679 10707.29650976 5015.86910011 -3162.97775967
Particle Collisions: 113 Wall collisions: 128
Particle 1: 18475.65000203 1309.61309966 1398.72463689 3598.94031978
Particle Collisions: 98 Wall collisions: 125
Particle 2: 14254.52001020 18449.69452189 -1067.20076411 -3151.45769015
Particle Collisions: 104 Wall collisions: 135
Particle 3: 14829.57747689 16584.99238354 -2796.38028035 4048.74207447
Particle Collisions: 112 Wall collisions: 123
Particle 4: 1150.65685006 9904.44949275 4214.04566351 1980.68989855
Particle Collisions: 112 Wall collisions: 135
Particle 5: 1351.11177808 1581.96710582 -3729.57764438 1147.02844473
Particle Collisions: 112 Wall collisions: 139
Particle 6: 11521.52883938 6364.95642107 -2825.82372021 -3592.51316107
Particle Collisions: 122 Wall collisions: 131
Particle 7: 5640.28099960 610.87210912 -2032.64836448 -2540.80464745
Particle Collisions: 117 Wall collisions: 128
Particle 8: 4510.18537250 17054.47932697 3550.04529305 853.80831439
Particle Collisions: 123 Wall collisions: 131
Particle 9: 8990.75024193 18688.51435633 -2270.80396811 2520.19778063
Particle Collisions: 117 Wall collisions: 131
Particle 10: 6862.55521470 6361.34947638 805.97839756 -4556.42178659
Particle Collisions: 124 Wall collisions: 132
Particle 11: 14477.06458671 19973.36509694 -1842.35831561 -2890.65657194
Particle Collisions: 112 Wall collisions: 119
Particle 12: 5897.78084108 14188.92170863 2285.43101192 -2896.33611588
Particle Collisions: 110 Wall collisions: 123
Particle 13: 16123.99314372 19999.00000000 -688.77016741 2420.88979915
Particle Collisions: 131 Wall collisions: 131
Particle 14: 16755.14492841 10220.95455455 -2918.09992055 -1350.78397779
Particle Collisions: 105 Wall collisions: 141
Particle 15: 5835.26586260 8619.78552850 -1353.48237538 -4082.14569553
Particle Collisions: 99 Wall collisions: 114
Particle 16: 9325.52237993 5865.55961531 -4241.96169517 2932.27980765
Particle Collisions: 100 Wall collisions: 134
Particle 17: 13062.99784515 11897.10308771 2092.04303308 2032.31413942
Particle Collisions: 98 Wall collisions: 126
Particle 18: 17638.35310229 3826.64305038 5421.07063103 1302.18570777
Particle Collisions: 117 Wall collisions: 136
Particle 19: 7316.93540601 10257.81721389 1943.44342740 -4204.05899848
Particle Collisions: 97 Wall collisions: 112
Particle 20: 10677.67631535 798.35045011 -2619.66155696 -1473.82787191
Particle Collisions: 96 Wall collisions: 119
Particle 21: 13761.59285824 13875.98060118 -1845.90572536 1996.94602053
Particle Collisions: 111 Wall collisions: 136
Particle 22: 19230.26848748 6412.62950003 -1179.80609688 1123.02432549
Particle Collisions: 112 Wall collisions: 144
Particle 23: 16947.67533785 468.22283638 -1220.78505694 1377.37441730
Particle Collisions: 117 Wall collisions: 121
Particle 24: 4893.98240770 5323.52465069 4892.98240770 4589.92495027
Particle Collisions: 99 Wall collisions: 145
Particle 25: 3990.35382546 7718.58140190 -1030.34497888 878.30033504
Particle Collisions: 112 Wall collisions: 131
Particle 26: 8476.52773760 7086.78224905 4067.64681966 3695.25257713
Particle Collisions: 100 Wall collisions: 130
Particle 27: 13292.70793828 9271.65073158 -3353.14603086 1640.36647391
Particle Collisions: 106 Wall collisions: 139
Particle 28: 15629.49659049 10218.25403495 4952.39527690 -1951.94646669
Particle Collisions: 116 Wall collisions: 117
Particle 29: 13980.01966313 9795.67605383 -4806.67784977 -2402.49592645
Particle Collisions: 100 Wall collisions: 118
Particle 30: 4114.35361903 16625.82506598 -3099.76406429 4755.69250625
Particle Collisions: 109 Wall collisions: 139
Particle 31: 13606.69406959 4663.65990362 -2755.97178609 -1371.64856898
Particle Collisions: 107 Wall collisions: 126
Particle 32: 11214.14990793 13018.06986347 726.39034169 -4170.66900250
Particle Collisions: 122 Wall collisions: 139
Particle 33: 14143.88190108 19999.00000000 -2748.18771926 2845.64165669
Particle Collisions: 109 Wall collisions: 139
Particle 34: 2729.45324195 5109.99666950 -652.90115547 4184.49944492
Particle Collisions: 114 Wall collisions: 122
Particle 35: 15379.19848411 15366.53830768 3016.41048707 -1692.17969972
Particle Collisions: 108 Wall collisions: 119
Particle 36: 10519.88415469 7738.55541109 -2006.71800586 -4730.19327270
Particle Collisions: 99 Wall collisions: 124
Particle 37: 4178.97882871 10486.73992104 -3111.19776750 -5026.19922078
Particle Collisions: 118 Wall collisions: 113
Particle 38: 19546.86687020 14061.96498253 -857.64992065 -2760.28753118
Particle Collisions: 97 Wall collisions: 133
Particle 39: 3107.44113152 15772.11330147 3973.32198879 5336.68720280
Particle Collisions: 99 Wall collisions: 121
Particle 40: 16813.19197960 8589.87192148 2750.96833286 -2927.25597507
Particle Collisions: 109 Wall collisions: 135
Particle 41: 13222.71396511 11788.15265469 1909.23597976 4315.26272122
Particle Collisions: 114 Wall collisions: 143
Particle 42: 5109.31480817 6748.57639495 3796.78508307 3377.14180771
Particle Collisions: 109 Wall collisions: 138
Particle 43: 12157.39361536 1570.00646616 -1034.88726835 -4791.57053366
Particle Collisions: 106 Wall collisions: 134
Particle 44: 1210.92704628 16360.10692565 2288.61666658 1480.02128701
Particle Collisions: 96 Wall collisions: 134
Particle 45: 14913.41247931 1225.08862984 -3563.30634677 -1849.10373578
Particle Collisions: 119 Wall collisions: 137
Particle 46: 10381.83764694 9939.86794741 -1252.59671973 -3206.29670515
Particle Collisions: 88 Wall collisions: 140
Particle 47: 9734.06231231 10786.57303017 4471.08938913 3072.95366245
Particle Collisions: 116 Wall collisions: 127
Particle 48: 3262.47211328 5520.96550777 -4151.35325194 3790.83450527
Particle Collisions: 96 Wall collisions: 139
Particle 49: 18288.51077628 9073.03805429 -2925.05205581 -3641.98731524
Particle Collisions: 115 Wall collisions: 124
Particle 50: 4306.39164139 9459.00046255 -3923.15208965 782.37499645
Particle Collisions: 121 Wall collisions: 126
Particle 51: 18095.65475019 2017.18864659 2839.73907079 2962.73696429
Particle Collisions: 110 Wall collisions: 137
Particle 52: 12301.59660084 16704.73275533 4392.81468571 4653.94375381
Particle Collisions: 136 Wall collisions: 117
Particle 53: 6293.24831875 503.15585125 4148.28054019 -1380.13971099
Particle Collisions: 114 Wall collisions: 126
Particle 54: 16439.32736956 13841.58813239 3966.04917457 -4084.86511955
Particle Collisions: 101 Wall collisions: 130
Particle 55: 1.00000000 18713.33544702 -2852.92161752 -3991.96042547
Particle Collisions: 127 Wall collisions: 131
Particle 56: 1561.79092619 12292.38205802 3762.02498838 -4700.48203645
Particle Collisions: 119 Wall collisions: 124
Particle 57: 15724.94115252 16171.11397162 2140.91266806 -1913.94301419
Particle Collisions: 88 Wall collisions: 124
Particle 58: 4193.54880772 11469.74986427 -2050.59840049 638.87267854
Particle Collisions: 122 Wall collisions: 117
Particle 59: 13988.16281119 13922.64149265 1235.78966007 -3881.81103474
Particle Collisions: 115 Wall collisions: 125
Particle 60: 10604.92537640 8544.34569165 4083.07941893 3120.47753594
Particle Collisions: 105 Wall collisions: 135
Particle 61: 16557.74208349 5479.96992663 -1697.63584370 4131.86732424
Particle Collisions: 121 Wall collisions: 139
Particle 62: 226.54918711 6124.27124892 -6176.09071923 612.07190501
Particle Collisions: 110 Wall collisions: 132
Particle 63: 14258.75714497 9416.05214883 394.70340741 4238.75557622
Particle Collisions: 114 Wall collisions: 126
Particle 64: 6247.08749789 10074.86696285 2384.24597844 3038.36347926
Particle Collisions: 104 Wall collisions: 133
Particle 65: 8184.54869742 19883.46831839 2443.81676459 1896.49246706
Particle Collisions: 118 Wall collisions: 132
Particle 66: 5398.43715243 2388.33193647 -3441.99261797 -3388.62753315
Particle Collisions: 86 Wall collisions: 124
Particle 67: 6931.33771471 14763.82920037 2159.64112740 2716.21765764
Particle Collisions: 92 Wall collisions: 127
Particle 68: 10336.95779710 1456.00342301 837.79714264 -1571.99541117
Particle Collisions: 114 Wall collisions: 130
Particle 69: 6427.35879812 13357.84675788 -3583.35372807 1704.49706002
Particle Collisions: 119 Wall collisions: 129
Particle 70: 10152.56903294 12538.15813077 -3635.09119631 2290.24427973
Particle Collisions: 105 Wall collisions: 135
Particle 71: 12287.61924584 16364.58224021 1428.81987598 -1072.65083184
Particle Collisions: 99 Wall collisions: 124
Particle 72: 17662.39561194 19261.44240146 1656.37138007 -2721.94382758
Particle Collisions: 117 Wall collisions: 130
Particle 73: 9974.43078235 7254.73100271 4986.71539117 3531.70383695
Particle Collisions: 114 Wall collisions: 126
Particle 74: 2164.24088003 18770.36677000 -3968.68651526 1850.91776582
Particle Collisions: 112 Wall collisions: 126
Particle 75: 13720.40296960 12356.21886435 -2140.89745522 1398.76135310
Particle Collisions: 116 Wall collisions: 130
Particle 76: 13550.69175353 5080.43557873 -3649.71892726 -1496.88292074
Particle Collisions: 103 Wall collisions: 123
Particle 77: 13281.91831189 1755.69319001 -1504.39578577 -3065.22667421
Particle Collisions: 104 Wall collisions: 143
Particle 78: 14081.56669435 12177.66124059 -1028.77920043 725.41591433
Particle Collisions: 105 Wall collisions: 120
Particle 79: 3887.37483645 16814.86807105 -1462.93009515 693.24780456
Particle Collisions: 99 Wall collisions: 112
Particle 80: 16244.18822621 13499.68529719 -2510.92825240 4499.56176573
Particle Collisions: 115 Wall collisions: 121
Particle 81: 7632.11665190 10545.18826500 -4077.14548029 3514.72942167
Particle Collisions: 115 Wall collisions: 123
Particle 82: 3570.25826989 10424.91114623 12.89396087 1459.98648891
Particle Collisions: 90 Wall collisions: 121
Particle 83: 5758.70930193 8892.03280847 3434.84506588 -3521.64626011
Particle Collisions: 107 Wall collisions: 135
Particle 84: 8423.57640404 4203.06381957 -1358.07781024 2023.25021727
Particle Collisions: 86 Wall collisions: 132
Particle 85: 6964.04848904 15164.25111562 -1191.42720507 -4834.74888438
Particle Collisions: 108 Wall collisions: 129
Particle 86: 10866.60600801 10561.35412636 4276.39229251 -3401.39811020
Particle Collisions: 101 Wall collisions: 116
Particle 87: 13213.59231291 18849.99389748 -3242.95990803 -4011.34596294
Particle Collisions: 102 Wall collisions: 128
Particle 88: 5175.28956878 5093.59640624 -2030.12708410 -1132.20642926
Particle Collisions: 112 Wall collisions: 127
Particle 89: 19395.41752950 3806.58965169 3681.48873011 -4322.18541141
Particle Collisions: 112 Wall collisions: 143
Particle 90: 17391.58218262 19444.25122602 4418.41047846 -1904.78975051
Particle Collisions: 113 Wall collisions: 128
Particle 91: 16311.20665897 5539.62510256 1487.09261896 -4944.97153375
Particle Collisions: 96 Wall collisions: 128
Particle 92: 18766.44143940 3298.04455030 1970.31491293 3297.04455030
Particle Collisions: 107 Wall collisions: 129
Particle 93: 8081.98892371 2880.08688400 3980.84562550 831.88673838
Particle Collisions: 127 Wall collisions: 136
Particle 94: 4974.40747410 7255.81893887 -5008.19750863 -897.49485194
Particle Collisions: 100 Wall collisions: 123
Particle 95: 17452.01182368 11808.48643087 2143.88634516 1477.20751361
Particle Collisions: 119 Wall collisions: 122
Particle 96: 4417.93204230 16673.03758244 4097.69637599 -3325.96241756
Particle Collisions: 115 Wall collisions: 134
Particle 97: 16156.09135255 10078.32696668 -1921.45432372 -4587.27751642
Particle Collisions: 106 Wall collisions: 138
Particle 98: 2857.87336942 9062.83009325 -2253.16940087 3105.27031770
Particle Collisions: 120 Wall collisions: 121
Particle 99: 12202.00680816 9984.60152533 -1423.60472828 -2784.63419294
Particle Collisions: 88 Wall collisions: 138
Particle 100: 13339.02861436 19135.60277333 -1805.87939034 4809.67208540
Particle Collisions: 94 Wall collisions: 151
Particle 101: 17410.25384703 16213.66175816 3481.85076941 -4748.53566496
Particle Collisions: 102 Wall collisions: 135
Particle 102: 13277.10036390 2660.34963407 2285.00382402 2382.62478068
Particle Collisions: 100 Wall collisions: 119
Particle 103: 3.00839981 14536.49912812 -2272.28052813 2203.21302392
Particle Collisions: 88 Wall collisions: 137
Particle 104: 13323.97766902 10366.83518922 -4520.14267946 3290.30185812
Particle Collisions: 113 Wall collisions: 120
Particle 105: 3749.27102451 15071.19911330 1521.28073421 3136.92550663
Particle Collisions: 117 Wall collisions: 132
Particle 106: 5053.46821483 5700.53403542 4717.52321294 4538.76248409
Particle Collisions: 103 Wall collisions: 142
Particle 107: 8235.69091935 14127.25850228 1958.46878758 -2423.18910173
Particle Collisions: 118 Wall collisions: 131
Particle 108: 19066.48055526 19375.69114043 3440.30031744 -4329.87485832
Particle Collisions: 104 Wall collisions: 121
Particle 109: 6548.96419405 566.57125440 3893.76741428 -7083.21390693
Particle Collisions: 116 Wall collisions: 130
Particle 110: 10338.54081984 11612.38904530 -4830.22959008 3885.50839144
Particle Collisions: 105 Wall collisions: 138
Particle 111: 15565.71962698 3476.25610708 -1127.39288449 1737.62805354
Particle Collisions: 88 Wall collisions: 135
Particle 112: 18356.24343332 14927.84682517 4813.54231102 2000.79536972
Particle Collisions: 114 Wall collisions: 128
Particle 113: 19999.00000000 3185.13175082 4545.81691793 4050.03464585
Particle Collisions: 98 Wall collisions: 125
Particle 114: 18293.07104292 10903.49161082 2441.91656250 3634.16387027
Particle Collisions: 106 Wall collisions: 127
Particle 115: 8150.18965344 8225.28140699 4065.91720447 -2926.93981877
Particle Collisions: 93 Wall collisions: 126
Particle 116: 2616.35029876 7986.36455494 -4129.07056393 -3098.74645111
Particle Collisions: 110 Wall collisions: 123
Particle 117: 350.38580455 12594.14593032 4422.69750730 -3702.42703484
Particle Collisions: 127 Wall collisions: 118
Particle 118: 8511.07695580 10634.38836316 3200.42360495 -2481.25757796
Particle Collisions: 93 Wall collisions: 131
Particle 119: 6934.64531365 12329.74004021 2007.33128089 -3638.45542859
Particle Collisions: 119 Wall collisions: 116
Particle 120: 17793.78132250 19171.83097379 1120.30101668 1604.42266701
Particle Collisions: 115 Wall collisions: 130
Particle 121: 607.14130967 13901.83190435 880.46429285 -3050.64845164
Particle Collisions: 113 Wall collisions: 127
Particle 122: 19999.00000000 10944.46120598 3500.97968242 1031.72799053
Particle Collisions: 101 Wall collisions: 135
Particle 123: 11300.54531571 4264.69719142 -1364.16884795 -1136.29992535
Particle Collisions: 91 Wall collisions: 123
Particle 124: 13876.19613403 4419.79114595 -1984.58903448 -2893.25953933
Particle Collisions: 98 Wall collisions: 122
Particle 125: 18371.74233703 185.10919673 -853.25588137 -4576.83786567
Particle Collisions: 100 Wall collisions: 119
Particle 126: 2304.08135447 3730.74947895 -744.60158492 -1317.60667248
Particle Collisions: 111 Wall collisions: 123
Particle 127: 12095.73588299 9725.19606945 -1157.31788777 -1364.38636688
Particle Collisions: 118 Wall collisions: 122
Particle 128: 78.66862601 1.00000000 3849.20949288 -4635.31278924
Particle Collisions: 121 Wall collisions: 132
Particle 129: 758.54801759 9455.30925143 -1649.71751974 1278.25033187
Particle Collisions: 111 Wall collisions: 140
Particle 130: 2634.12617707 3364.85560987 -4533.03891652 -3088.33353280
Particle Collisions: 104 Wall collisions: 134
Particle 131: 18708.26316897 11782.54249236 748.13761606 -2221.96044891
Particle Collisions: 98 Wall collisions: 122
Particle 132: 1129.13096065 5996.42971591 3287.98798266 -4468.61886494
Particle Collisions: 126 Wall collisions: 128
Particle 133: 15146.85450703 18581.14798779 -4852.14549297 3767.84284766
Particle Collisions: 98 Wall collisions: 124
Particle 134: 12598.08515997 13788.04193108 -803.49588589 2630.30289709
Particle Collisions: 110 Wall collisions: 117
Particle 135: 9603.68759935 12255.23935562 1292.17191948 -4508.78472442
Particle Collisions: 103 Wall collisions: 122
Particle 136: 12574.43085693 3104.49629395 1633.81434043 4900.35449794
Particle Collisions: 113 Wall collisions: 126
Particle 137: 15270.05988218 11498.21261340 -530.90227745 4079.46868865
Particle Collisions: 92 Wall collisions: 121
Particle 138: 15303.33497299 8736.95062698 4200.55212973 4367.97531349
Particle Collisions: 109 Wall collisions: 122
Particle 139: 6573.34215818 14623.96806507 3396.32257016 3600.06318372
Particle Collisions: 134 Wall collisions: 115
Particle 140: 13546.86348698 9222.14592534 -1235.50699731 -4893.00806605
Particle Collisions: 103 Wall collisions: 125
Particle 141: 10541.62147834 8162.53974737 2562.59983246 -3973.76109455
Particle Collisions: 109 Wall collisions: 118
Particle 142: 18808.77753294 4496.56643173 1178.24695836 4495.56643173
Particle Collisions: 124 Wall collisions: 119
Particle 143: 4405.87288857 9056.35422700 -4391.29733751 -1865.48492248
Particle Collisions: 121 Wall collisions: 124
Particle 144: 3523.06320239 10472.02998148 1599.88181798 -4763.48500926
Particle Collisions: 97 Wall collisions: 120
Particle 145: 9542.23602594 10486.14173514 -2878.31422837 2785.95337195
Particle Collisions: 102 Wall collisions: 136
Particle 146: 13782.98327494 7931.38859402 -2475.19590403 -2479.98660718
Particle Collisions: 99 Wall collisions: 141
Particle 147: 2809.52405151 8952.28637705 4421.76615301 3489.01094840
Particle Collisions: 108 Wall collisions: 139
Particle 148: 12504.11536892 2999.89299779 -3607.40226794 -1872.72972326
Particle Collisions: 115 Wall collisions: 124
Particle 149: 12520.46238405 8260.61502848 2135.70952487 5532.70940404
Particle Collisions: 115 Wall collisions: 134
Particle 150: 633.57608742 3590.79147813 -3286.94333687 -4734.95587774
Particle Collisions: 121 Wall collisions: 125
Particle 151: 7678.08556164 10402.77929360 -939.84253006 802.75775710
Particle Collisions: 107 Wall collisions: 132
Particle 152: 16323.05370581 8242.84850530 -3048.05881788 -3662.70799849
Particle Collisions: 98 Wall collisions: 135
Particle 153: 14205.81440903 14242.46497501 4165.39147573 4333.06040709
Particle Collisions: 90 Wall collisions: 122
Particle 154: 14802.05981807 3818.62451075 -1642.24038048 752.00761651
Particle Collisions: 95 Wall collisions: 130
Particle 155: 16145.53538528 14680.05235309 1998.03522685 3415.08602014
Particle Collisions: 107 Wall collisions: 127
Particle 156: 2506.41458929 12969.06009524 4356.81067530 3662.89556614
Particle Collisions: 115 Wall collisions: 147
Particle 157: 927.34950595 11944.60313340 2401.05028763 4422.20790378
Particle Collisions: 109 Wall collisions: 138
Particle 158: 17894.08089086 5306.65271777 -4395.53575329 3037.62344043
Particle Collisions: 123 Wall collisions: 126
Particle 159: 1970.22958290 9747.72750618 2033.66057498 -4584.22121672
Particle Collisions: 99 Wall collisions: 145
Particle 160: 16993.03062288 8968.85348623 -1636.29871744 -3513.63346233
Particle Collisions: 111 Wall collisions: 122
Particle 161: 5984.97453156 9376.95205407 1401.97804111 3024.22595478
Particle Collisions: 105 Wall collisions: 124
Particle 162: 2341.46297722 336.94468254 3474.52819632 -2447.89464710
Particle Collisions: 107 Wall collisions: 123
Particle 163: 1.00000000 14433.90761387 -1562.41525401 -2000.68816935
Particle Collisions: 117 Wall collisions: 126
Particle 164: 15690.10963883 16975.32891466 -3532.01219388 -3037.92869090
Particle Collisions: 126 Wall collisions: 129
Particle 165: 8829.12381835 17206.58576193 2632.75731688 923.02107905
Particle Collisions: 98 Wall collisions: 139
Particle 166: 7518.71086119 14458.85635359 436.06380918 4466.71511857
Particle Collisions: 111 Wall collisions: 146
Particle 167: 10899.43594946 19999.00000000 -3952.77199972 1008.00589739
Particle Collisions: 120 Wall collisions: 128
Particle 168: 19502.77333389 10739.97975696 -986.93038073 2478.38136353
Particle Collisions: 107 Wall collisions: 130
Particle 169: 1588.00502015 19633.35110409 -4602.74874496 -4276.85243117
Particle Collisions: 126 Wall collisions: 136
Particle 170: 3781.02890448 5265.09401726 -4009.90186291 -3225.50401057
Particle Collisions: 104 Wall collisions: 122
Particle 171: 15591.17512974 1.00000000 1251.42335169 -4629.41148086
Particle Collisions: 117 Wall collisions: 128
Particle 172: 3542.34553363 384.92262754 -1957.61983807 2669.82806166
Particle Collisions: 128 Wall collisions: 138
Particle 173: 4236.57665886 10436.03784768 4235.57665886 -5079.99357536
Particle Collisions: 109 Wall collisions: 130
Particle 174: 8193.27153206 11589.13298107 1795.99902562 -2440.11618591
Particle Collisions: 116 Wall collisions: 118
Particle 175: 2734.79487680 12299.88432580 2421.42172049 -2566.37189140
Particle Collisions: 99 Wall collisions: 128
Particle 176: 14319.83677703 3676.32993317 -3941.82767247 3915.61883892
Particle Collisions: 107 Wall collisions: 133
Particle 177: 9882.29020041 8795.64068327 4940.64510020 3594.44615944
Particle Collisions: 119 Wall collisions: 122
Particle 178: 2326.80930111 808.19949662 -1970.58289773 1707.43672919
Particle Collisions: 98 Wall collisions: 149
Particle 179: 18541.28851521 8481.04379196 -2826.92846914 -4550.66489341
Particle Collisions: 99 Wall collisions: 129
Particle 180: 13696.68754788 9390.93381428 2546.61222159 -2600.03998687
Particle Collisions: 97 Wall collisions: 144
Particle 181: 9534.33184782 18.02559888 -1414.46772636 -903.27722627
Particle Collisions: 115 Wall collisions: 126
Particle 182: 16345.74663950 5453.14391911 -3157.94049422 -902.06709808
Particle Collisions: 100 Wall collisions: 120
Particle 183: 5387.43160769 12989.68522426 -2318.21925181 -1401.86295515
Particle Collisions: 93 Wall collisions: 120
Particle 184: 14770.12954630 3549.02069632 -4828.68485921 4034.00569025
Particle Collisions: 112 Wall collisions: 140
Particle 185: 13681.63571459 2425.75538038 -2048.81071546 -2936.33085049
Particle Collisions: 109 Wall collisions: 126
Particle 186: 5758.51025127 932.67902388 4928.83311951 4185.93580478
Particle Collisions: 127 Wall collisions: 128
Particle 187: 8741.13322202 1192.34886474 2187.16141356 -574.51067259
Particle Collisions: 95 Wall collisions: 122
Particle 188: 17687.08121835 16036.87459078 2803.44923767 2256.95900657
Particle Collisions: 98 Wall collisions: 121
Particle 189: 15069.72942685 5373.24106368 -1235.99954927 3411.99291392
Particle Collisions: 127 Wall collisions: 121
Particle 190: 7644.89730178 14665.69218994 -3972.58711860 3665.71090657
Particle Collisions: 110 Wall collisions: 120
Particle 191: 6621.11108506 5395.20130853 3296.01035059 848.14917615
Particle Collisions: 112 Wall collisions: 127
Particle 192: 9273.68700908 10606.26649171 -4667.88963101 -4696.36675414
Particle Collisions: 108 Wall collisions: 130
Particle 193: 14511.54162233 11108.25552743 4126.07060450 4449.87934259
Particle Collisions: 97 Wall collisions: 130
